epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1601655863216,2020-10-02T12.24.23.216,32.440,-1.029,-0.236,-0.894
1601655863225,2020-10-02T12.24.23.225,32.449,-0.988,-0.277,-0.853
1601655863235,2020-10-02T12.24.23.235,32.459,-0.948,-0.312,-0.823
1601655863245,2020-10-02T12.24.23.245,32.469,-0.910,-0.364,-0.830
1601655863256,2020-10-02T12.24.23.256,32.480,-0.883,-0.400,-0.854
1601655863266,2020-10-02T12.24.23.266,32.490,-0.856,-0.427,-0.858
1601655863275,2020-10-02T12.24.23.275,32.499,-0.820,-0.462,-0.827
1601655863285,2020-10-02T12.24.23.285,32.509,-0.793,-0.503,-0.771
1601655863295,2020-10-02T12.24.23.295,32.519,-0.775,-0.517,-0.758
1601655863305,2020-10-02T12.24.23.305,32.529,-0.746,-0.553,-0.783
1601655863314,2020-10-02T12.24.23.314,32.538,-0.727,-0.587,-0.729
1601655863325,2020-10-02T12.24.23.325,32.549,-0.703,-0.589,-0.626
1601655863335,2020-10-02T12.24.23.335,32.559,-0.693,-0.598,-0.522
1601655863345,2020-10-02T12.24.23.345,32.569,-0.707,-0.641,-0.430
1601655863355,2020-10-02T12.24.23.355,32.579,-0.748,-0.664,-0.336
1601655863364,2020-10-02T12.24.23.364,32.588,-0.799,-0.701,-0.259
1601655863374,2020-10-02T12.24.23.374,32.598,-0.839,-0.720,-0.219
1601655863385,2020-10-02T12.24.23.385,32.609,-0.887,-0.742,-0.214
1601655863395,2020-10-02T12.24.23.395,32.619,-0.944,-0.769,-0.245
1601655863404,2020-10-02T12.24.23.404,32.628,-0.981,-0.793,-0.289
1601655863414,2020-10-02T12.24.23.414,32.638,-0.989,-0.800,-0.298
1601655863424,2020-10-02T12.24.23.424,32.648,-0.980,-0.805,-0.276
1601655863434,2020-10-02T12.24.23.434,32.658,-0.948,-0.785,-0.242
1601655863445,2020-10-02T12.24.23.445,32.669,-0.929,-0.797,-0.164
1601655863453,2020-10-02T12.24.23.453,32.677,-0.925,-0.810,-0.075
1601655863464,2020-10-02T12.24.23.464,32.688,-0.961,-0.789,-0.071
1601655863474,2020-10-02T12.24.23.474,32.698,-0.958,-0.752,-0.139
1601655863484,2020-10-02T12.24.23.484,32.708,-0.931,-0.723,-0.178
1601655863493,2020-10-02T12.24.23.493,32.717,-0.926,-0.683,-0.160
1601655863503,2020-10-02T12.24.23.503,32.727,-0.942,-0.625,-0.183
1601655863513,2020-10-02T12.24.23.513,32.737,-0.887,-0.623,-0.280
1601655863524,2020-10-02T12.24.23.524,32.748,-0.858,-0.554,-0.364
1601655863534,2020-10-02T12.24.23.534,32.758,-0.833,-0.525,-0.377
1601655863543,2020-10-02T12.24.23.543,32.767,-0.752,-0.569,-0.314
1601655863553,2020-10-02T12.24.23.553,32.777,-0.732,-0.488,-0.187
1601655863563,2020-10-02T12.24.23.563,32.787,-0.794,-0.491,-0.092
1601655863574,2020-10-02T12.24.23.574,32.798,-0.810,-0.590,-0.049
1601655863582,2020-10-02T12.24.23.582,32.806,-0.852,-0.589,0.012
1601655863593,2020-10-02T12.24.23.593,32.817,-0.927,-0.621,0.098
1601655863603,2020-10-02T12.24.23.603,32.827,-0.999,-0.675,0.171
1601655863613,2020-10-02T12.24.23.613,32.837,-1.056,-0.708,0.250
1601655863623,2020-10-02T12.24.23.623,32.847,-1.145,-0.777,0.384
1601655863632,2020-10-02T12.24.23.632,32.856,-1.241,-0.810,0.535
1601655863642,2020-10-02T12.24.23.642,32.866,-1.316,-0.860,0.680
1601655863653,2020-10-02T12.24.23.653,32.877,-1.400,-0.927,0.817
1601655863663,2020-10-02T12.24.23.663,32.887,-1.456,-0.909,0.950
1601655863672,2020-10-02T12.24.23.672,32.896,-1.457,-0.902,1.016
1601655863682,2020-10-02T12.24.23.682,32.906,-1.431,-0.891,1.031
1601655863692,2020-10-02T12.24.23.692,32.916,-1.366,-0.832,1.004
1601655863702,2020-10-02T12.24.23.702,32.926,-1.294,-0.771,0.948
1601655863713,2020-10-02T12.24.23.713,32.937,-1.209,-0.701,0.868
1601655863721,2020-10-02T12.24.23.721,32.945,-1.103,-0.622,0.772
1601655863732,2020-10-02T12.24.23.732,32.956,-0.986,-0.529,0.693
1601655863742,2020-10-02T12.24.23.742,32.966,-0.875,-0.436,0.628
1601655863752,2020-10-02T12.24.23.752,32.976,-0.790,-0.373,0.568
1601655863761,2020-10-02T12.24.23.761,32.985,-0.714,-0.329,0.505
1601655863771,2020-10-02T12.24.23.771,32.995,-0.673,-0.312,0.452
1601655863782,2020-10-02T12.24.23.782,33.006,-0.668,-0.319,0.418
1601655863792,2020-10-02T12.24.23.792,33.016,-0.688,-0.329,0.407
1601655863802,2020-10-02T12.24.23.802,33.026,-0.725,-0.358,0.411
1601655863811,2020-10-02T12.24.23.811,33.035,-0.779,-0.404,0.413
1601655863821,2020-10-02T12.24.23.821,33.045,-0.828,-0.432,0.379
1601655863831,2020-10-02T12.24.23.831,33.055,-0.855,-0.447,0.308
1601655863842,2020-10-02T12.24.23.842,33.066,-0.873,-0.455,0.252
1601655863852,2020-10-02T12.24.23.852,33.076,-0.893,-0.472,0.231
1601655863861,2020-10-02T12.24.23.861,33.085,-0.905,-0.474,0.201
1601655863871,2020-10-02T12.24.23.871,33.095,-0.904,-0.468,0.182
1601655863881,2020-10-02T12.24.23.881,33.105,-0.891,-0.473,0.193
1601655863891,2020-10-02T12.24.23.891,33.115,-0.875,-0.489,0.215
1601655863900,2020-10-02T12.24.23.900,33.124,-0.873,-0.531,0.225
1601655863910,2020-10-02T12.24.23.910,33.134,-0.907,-0.548,0.211
1601655863921,2020-10-02T12.24.23.921,33.145,-0.905,-0.557,0.133
1601655863931,2020-10-02T12.24.23.931,33.155,-0.883,-0.546,0.020
1601655863941,2020-10-02T12.24.23.941,33.165,-0.873,-0.536,-0.035
1601655863950,2020-10-02T12.24.23.950,33.174,-0.861,-0.517,-0.071
1601655863960,2020-10-02T12.24.23.960,33.184,-0.816,-0.480,-0.112
1601655863971,2020-10-02T12.24.23.971,33.195,-0.803,-0.471,-0.105
1601655863981,2020-10-02T12.24.23.981,33.205,-0.869,-0.529,-0.102
1601655863990,2020-10-02T12.24.23.990,33.214,-0.985,-0.605,-0.145
1601655864000,2020-10-02T12.24.24.000,33.224,-1.085,-0.676,-0.193
1601655864010,2020-10-02T12.24.24.010,33.234,-1.143,-0.702,-0.199
1601655864020,2020-10-02T12.24.24.020,33.244,-1.138,-0.665,-0.197
1601655864031,2020-10-02T12.24.24.031,33.255,-1.078,-0.587,-0.312
1601655864039,2020-10-02T12.24.24.039,33.263,-1.022,-0.504,-0.415
1601655864050,2020-10-02T12.24.24.050,33.274,-0.982,-0.427,-0.374
1601655864060,2020-10-02T12.24.24.060,33.284,-0.970,-0.387,-0.292
1601655864070,2020-10-02T12.24.24.070,33.294,-0.980,-0.425,-0.218
1601655864079,2020-10-02T12.24.24.079,33.303,-1.049,-0.499,-0.195
1601655864089,2020-10-02T12.24.24.089,33.313,-1.131,-0.573,-0.225
1601655864099,2020-10-02T12.24.24.099,33.323,-1.199,-0.616,-0.263
1601655864110,2020-10-02T12.24.24.110,33.334,-1.177,-0.573,-0.292
1601655864120,2020-10-02T12.24.24.120,33.344,-1.075,-0.489,-0.365
1601655864129,2020-10-02T12.24.24.129,33.353,-0.994,-0.412,-0.427
1601655864139,2020-10-02T12.24.24.139,33.363,-0.916,-0.314,-0.444
1601655864149,2020-10-02T12.24.24.149,33.373,-0.850,-0.257,-0.454
1601655864159,2020-10-02T12.24.24.159,33.383,-0.823,-0.250,-0.447
1601655864168,2020-10-02T12.24.24.168,33.392,-0.878,-0.299,-0.389
1601655864179,2020-10-02T12.24.24.179,33.403,-0.963,-0.389,-0.326
1601655864189,2020-10-02T12.24.24.189,33.413,-1.045,-0.436,-0.300
1601655864199,2020-10-02T12.24.24.199,33.423,-1.001,-0.375,-0.332
1601655864209,2020-10-02T12.24.24.209,33.433,-0.916,-0.272,-0.371
1601655864218,2020-10-02T12.24.24.218,33.442,-0.868,-0.218,-0.382
1601655864228,2020-10-02T12.24.24.228,33.452,-0.845,-0.164,-0.451
1601655864239,2020-10-02T12.24.24.239,33.463,-0.831,-0.144,-0.541
1601655864249,2020-10-02T12.24.24.249,33.473,-0.818,-0.143,-0.520
1601655864258,2020-10-02T12.24.24.258,33.482,-0.803,-0.157,-0.426
1601655864268,2020-10-02T12.24.24.268,33.492,-0.821,-0.198,-0.332
1601655864278,2020-10-02T12.24.24.278,33.502,-0.844,-0.233,-0.280
1601655864288,2020-10-02T12.24.24.288,33.512,-0.860,-0.262,-0.268
1601655864299,2020-10-02T12.24.24.299,33.523,-0.887,-0.265,-0.312
1601655864307,2020-10-02T12.24.24.307,33.531,-0.906,-0.239,-0.448
1601655864318,2020-10-02T12.24.24.318,33.542,-0.946,-0.192,-0.596
1601655864328,2020-10-02T12.24.24.328,33.552,-0.999,-0.180,-0.636
1601655864338,2020-10-02T12.24.24.338,33.562,-1.021,-0.193,-0.596
1601655864347,2020-10-02T12.24.24.347,33.571,-1.049,-0.204,-0.570
1601655864357,2020-10-02T12.24.24.357,33.581,-1.098,-0.229,-0.585
1601655864367,2020-10-02T12.24.24.367,33.591,-1.159,-0.232,-0.606
1601655864378,2020-10-02T12.24.24.378,33.602,-1.205,-0.217,-0.621
1601655864388,2020-10-02T12.24.24.388,33.612,-1.226,-0.196,-0.623
1601655864397,2020-10-02T12.24.24.397,33.621,-1.206,-0.179,-0.620
1601655864407,2020-10-02T12.24.24.407,33.631,-1.171,-0.152,-0.621
1601655864417,2020-10-02T12.24.24.417,33.641,-1.150,-0.138,-0.618
1601655864428,2020-10-02T12.24.24.428,33.652,-1.147,-0.148,-0.596
1601655864436,2020-10-02T12.24.24.436,33.660,-1.131,-0.147,-0.573
1601655864447,2020-10-02T12.24.24.447,33.671,-1.104,-0.135,-0.535
1601655864457,2020-10-02T12.24.24.457,33.681,-1.082,-0.135,-0.478
1601655864467,2020-10-02T12.24.24.467,33.691,-1.043,-0.139,-0.443
1601655864477,2020-10-02T12.24.24.477,33.701,-1.005,-0.128,-0.435
1601655864486,2020-10-02T12.24.24.486,33.710,-0.979,-0.117,-0.428
1601655864496,2020-10-02T12.24.24.496,33.720,-0.963,-0.112,-0.415
1601655864507,2020-10-02T12.24.24.507,33.731,-0.952,-0.108,-0.398
1601655864517,2020-10-02T12.24.24.517,33.741,-0.945,-0.104,-0.385
1601655864526,2020-10-02T12.24.24.526,33.750,-0.944,-0.101,-0.368
1601655864536,2020-10-02T12.24.24.536,33.760,-0.949,-0.107,-0.350
1601655864546,2020-10-02T12.24.24.546,33.770,-0.958,-0.107,-0.339
1601655864556,2020-10-02T12.24.24.556,33.780,-0.965,-0.112,-0.322
1601655864567,2020-10-02T12.24.24.567,33.791,-0.972,-0.123,-0.303
1601655864575,2020-10-02T12.24.24.575,33.799,-0.977,-0.122,-0.301
1601655864586,2020-10-02T12.24.24.586,33.810,-0.986,-0.129,-0.292
1601655864596,2020-10-02T12.24.24.596,33.820,-0.994,-0.134,-0.274
1601655864606,2020-10-02T12.24.24.606,33.830,-0.996,-0.142,-0.263
1601655864615,2020-10-02T12.24.24.615,33.839,-1.008,-0.149,-0.249
1601655864625,2020-10-02T12.24.24.625,33.849,-1.013,-0.157,-0.238
1601655864636,2020-10-02T12.24.24.636,33.860,-1.009,-0.161,-0.227
1601655864646,2020-10-02T12.24.24.646,33.870,-1.002,-0.157,-0.222
1601655864656,2020-10-02T12.24.24.656,33.880,-0.997,-0.156,-0.216
1601655864665,2020-10-02T12.24.24.665,33.889,-0.993,-0.152,-0.218
1601655864675,2020-10-02T12.24.24.675,33.899,-0.999,-0.150,-0.229
1601655864685,2020-10-02T12.24.24.685,33.909,-1.010,-0.157,-0.240
1601655864696,2020-10-02T12.24.24.696,33.920,-1.017,-0.160,-0.256
1601655864706,2020-10-02T12.24.24.706,33.930,-1.023,-0.159,-0.254
1601655864715,2020-10-02T12.24.24.715,33.939,-1.027,-0.161,-0.239
1601655864725,2020-10-02T12.24.24.725,33.949,-1.027,-0.156,-0.223
1601655864735,2020-10-02T12.24.24.735,33.959,-1.018,-0.151,-0.215
1601655864745,2020-10-02T12.24.24.745,33.969,-1.019,-0.153,-0.209
1601655864754,2020-10-02T12.24.24.754,33.978,-1.019,-0.158,-0.200
1601655864764,2020-10-02T12.24.24.764,33.988,-1.021,-0.158,-0.203
1601655864775,2020-10-02T12.24.24.775,33.999,-1.022,-0.159,-0.215
1601655864785,2020-10-02T12.24.24.785,34.009,-1.027,-0.163,-0.221
1601655864795,2020-10-02T12.24.24.795,34.019,-1.023,-0.167,-0.225
1601655864804,2020-10-02T12.24.24.804,34.028,-1.016,-0.158,-0.228
1601655864814,2020-10-02T12.24.24.814,34.038,-1.005,-0.147,-0.238
1601655864825,2020-10-02T12.24.24.825,34.049,-0.997,-0.146,-0.242
1601655864835,2020-10-02T12.24.24.835,34.059,-0.994,-0.145,-0.234
1601655864844,2020-10-02T12.24.24.844,34.068,-1.001,-0.145,-0.222
1601655864854,2020-10-02T12.24.24.854,34.078,-1.014,-0.150,-0.205
1601655864864,2020-10-02T12.24.24.864,34.088,-1.015,-0.146,-0.195
1601655864874,2020-10-02T12.24.24.874,34.098,-1.010,-0.147,-0.184
1601655864885,2020-10-02T12.24.24.885,34.109,-1.006,-0.144,-0.190
1601655864893,2020-10-02T12.24.24.893,34.117,-1.001,-0.143,-0.204
1601655864904,2020-10-02T12.24.24.904,34.128,-0.996,-0.140,-0.215
1601655864914,2020-10-02T12.24.24.914,34.138,-0.996,-0.130,-0.220
1601655864924,2020-10-02T12.24.24.924,34.148,-0.992,-0.129,-0.229
1601655864933,2020-10-02T12.24.24.933,34.157,-0.983,-0.129,-0.232
1601655864943,2020-10-02T12.24.24.943,34.167,-0.977,-0.125,-0.238
1601655864953,2020-10-02T12.24.24.953,34.177,-0.976,-0.124,-0.241
1601655864964,2020-10-02T12.24.24.964,34.188,-0.980,-0.122,-0.239
1601655864974,2020-10-02T12.24.24.974,34.198,-0.977,-0.123,-0.236
1601655864983,2020-10-02T12.24.24.983,34.207,-0.980,-0.126,-0.234
1601655864993,2020-10-02T12.24.24.993,34.217,-0.989,-0.129,-0.225
1601655865003,2020-10-02T12.24.25.003,34.227,-0.990,-0.134,-0.213
1601655865013,2020-10-02T12.24.25.013,34.237,-0.991,-0.139,-0.213
1601655865022,2020-10-02T12.24.25.022,34.246,-0.991,-0.141,-0.218
1601655865033,2020-10-02T12.24.25.033,34.257,-0.991,-0.138,-0.226
1601655865043,2020-10-02T12.24.25.043,34.267,-0.993,-0.137,-0.226
1601655865053,2020-10-02T12.24.25.053,34.277,-0.989,-0.140,-0.225
1601655865063,2020-10-02T12.24.25.063,34.287,-0.990,-0.137,-0.226
1601655865072,2020-10-02T12.24.25.072,34.296,-0.986,-0.133,-0.238
1601655865082,2020-10-02T12.24.25.082,34.306,-0.992,-0.125,-0.252
1601655865093,2020-10-02T12.24.25.093,34.317,-0.990,-0.119,-0.270
1601655865103,2020-10-02T12.24.25.103,34.327,-0.988,-0.111,-0.291
1601655865112,2020-10-02T12.24.25.112,34.336,-0.982,-0.103,-0.323
1601655865122,2020-10-02T12.24.25.122,34.346,-0.976,-0.092,-0.363
1601655865132,2020-10-02T12.24.25.132,34.356,-0.992,-0.085,-0.421
1601655865142,2020-10-02T12.24.25.142,34.366,-1.021,-0.088,-0.488
1601655865153,2020-10-02T12.24.25.153,34.377,-1.048,-0.080,-0.541
1601655865161,2020-10-02T12.24.25.161,34.385,-1.064,-0.070,-0.577
1601655865172,2020-10-02T12.24.25.172,34.396,-1.083,-0.078,-0.597
1601655865182,2020-10-02T12.24.25.182,34.406,-1.107,-0.088,-0.622
1601655865192,2020-10-02T12.24.25.192,34.416,-1.123,-0.089,-0.639
1601655865201,2020-10-02T12.24.25.201,34.425,-1.129,-0.089,-0.647
1601655865211,2020-10-02T12.24.25.211,34.435,-1.134,-0.095,-0.646
1601655865221,2020-10-02T12.24.25.221,34.445,-1.127,-0.096,-0.646
1601655865232,2020-10-02T12.24.25.232,34.456,-1.111,-0.104,-0.648
1601655865242,2020-10-02T12.24.25.242,34.466,-1.095,-0.109,-0.670
1601655865251,2020-10-02T12.24.25.251,34.475,-1.083,-0.114,-0.714
1601655865261,2020-10-02T12.24.25.261,34.485,-1.062,-0.124,-0.755
1601655865271,2020-10-02T12.24.25.271,34.495,-1.022,-0.129,-0.774
1601655865282,2020-10-02T12.24.25.282,34.506,-0.982,-0.135,-0.776
1601655865290,2020-10-02T12.24.25.290,34.514,-0.961,-0.153,-0.763
1601655865301,2020-10-02T12.24.25.301,34.525,-0.949,-0.174,-0.733
1601655865311,2020-10-02T12.24.25.311,34.535,-0.960,-0.204,-0.688
1601655865321,2020-10-02T12.24.25.321,34.545,-0.987,-0.249,-0.637
1601655865331,2020-10-02T12.24.25.331,34.555,-1.009,-0.285,-0.619
1601655865340,2020-10-02T12.24.25.340,34.564,-1.010,-0.314,-0.620
1601655865350,2020-10-02T12.24.25.350,34.574,-0.993,-0.329,-0.635
1601655865361,2020-10-02T12.24.25.361,34.585,-0.975,-0.334,-0.681
1601655865371,2020-10-02T12.24.25.371,34.595,-0.949,-0.352,-0.736
1601655865380,2020-10-02T12.24.25.380,34.604,-0.914,-0.357,-0.739
1601655865390,2020-10-02T12.24.25.390,34.614,-0.862,-0.368,-0.718
1601655865400,2020-10-02T12.24.25.400,34.624,-0.840,-0.412,-0.663
1601655865410,2020-10-02T12.24.25.410,34.634,-0.843,-0.438,-0.646
1601655865421,2020-10-02T12.24.25.421,34.645,-0.818,-0.464,-0.631
1601655865429,2020-10-02T12.24.25.429,34.653,-0.790,-0.495,-0.580
1601655865440,2020-10-02T12.24.25.440,34.664,-0.776,-0.532,-0.517
1601655865450,2020-10-02T12.24.25.450,34.674,-0.762,-0.551,-0.482
1601655865460,2020-10-02T12.24.25.460,34.684,-0.734,-0.566,-0.487
1601655865469,2020-10-02T12.24.25.469,34.693,-0.750,-0.543,-0.512
1601655865479,2020-10-02T12.24.25.479,34.703,-0.753,-0.548,-0.512
1601655865490,2020-10-02T12.24.25.490,34.714,-0.754,-0.595,-0.471
1601655865500,2020-10-02T12.24.25.500,34.724,-0.766,-0.623,-0.394
1601655865510,2020-10-02T12.24.25.510,34.734,-0.775,-0.674,-0.329
1601655865519,2020-10-02T12.24.25.519,34.743,-0.780,-0.724,-0.267
1601655865529,2020-10-02T12.24.25.529,34.753,-0.807,-0.776,-0.212
1601655865539,2020-10-02T12.24.25.539,34.763,-0.804,-0.773,-0.226
1601655865550,2020-10-02T12.24.25.550,34.774,-0.780,-0.782,-0.238
1601655865560,2020-10-02T12.24.25.560,34.784,-0.795,-0.802,-0.206
1601655865569,2020-10-02T12.24.25.569,34.793,-0.792,-0.787,-0.215
1601655865579,2020-10-02T12.24.25.579,34.803,-0.765,-0.782,-0.202
1601655865589,2020-10-02T12.24.25.589,34.813,-0.793,-0.789,-0.203
1601655865599,2020-10-02T12.24.25.599,34.823,-0.799,-0.823,-0.135
1601655865608,2020-10-02T12.24.25.608,34.832,-0.817,-0.858,-0.035
1601655865618,2020-10-02T12.24.25.618,34.842,-0.836,-0.880,0.027
1601655865629,2020-10-02T12.24.25.629,34.853,-0.856,-0.879,0.086
1601655865639,2020-10-02T12.24.25.639,34.863,-0.904,-0.908,0.143
1601655865649,2020-10-02T12.24.25.649,34.873,-0.999,-0.895,0.122
1601655865658,2020-10-02T12.24.25.658,34.882,-1.031,-0.834,0.049
1601655865668,2020-10-02T12.24.25.668,34.892,-1.013,-0.801,0.024
1601655865679,2020-10-02T12.24.25.679,34.903,-1.022,-0.801,0.086
1601655865689,2020-10-02T12.24.25.689,34.913,-1.057,-0.810,0.194
1601655865698,2020-10-02T12.24.25.698,34.922,-1.088,-0.819,0.276
1601655865708,2020-10-02T12.24.25.708,34.932,-1.102,-0.833,0.362
1601655865718,2020-10-02T12.24.25.718,34.942,-1.121,-0.845,0.476
1601655865728,2020-10-02T12.24.25.728,34.952,-1.179,-0.872,0.601
1601655865739,2020-10-02T12.24.25.739,34.963,-1.212,-0.876,0.712
1601655865747,2020-10-02T12.24.25.747,34.971,-1.243,-0.883,0.825
1601655865758,2020-10-02T12.24.25.758,34.982,-1.283,-0.871,0.938
1601655865768,2020-10-02T12.24.25.768,34.992,-1.299,-0.885,1.010
1601655865778,2020-10-02T12.24.25.778,35.002,-1.281,-0.884,1.039
1601655865787,2020-10-02T12.24.25.787,35.011,-1.232,-0.830,1.009
1601655865797,2020-10-02T12.24.25.797,35.021,-1.134,-0.750,0.934
1601655865807,2020-10-02T12.24.25.807,35.031,-1.022,-0.661,0.832
1601655865818,2020-10-02T12.24.25.818,35.042,-0.924,-0.546,0.717
1601655865828,2020-10-02T12.24.25.828,35.052,-0.841,-0.459,0.621
1601655865837,2020-10-02T12.24.25.837,35.061,-0.783,-0.401,0.549
1601655865847,2020-10-02T12.24.25.847,35.071,-0.744,-0.355,0.491
1601655865857,2020-10-02T12.24.25.857,35.081,-0.720,-0.336,0.419
1601655865867,2020-10-02T12.24.25.867,35.091,-0.731,-0.331,0.364
1601655865876,2020-10-02T12.24.25.876,35.100,-0.760,-0.366,0.328
1601655865887,2020-10-02T12.24.25.887,35.111,-0.802,-0.401,0.321
1601655865897,2020-10-02T12.24.25.897,35.121,-0.841,-0.424,0.318
1601655865907,2020-10-02T12.24.25.907,35.131,-0.865,-0.440,0.292
1601655865917,2020-10-02T12.24.25.917,35.141,-0.868,-0.432,0.251
1601655865926,2020-10-02T12.24.25.926,35.150,-0.896,-0.433,0.199
1601655865936,2020-10-02T12.24.25.936,35.160,-0.920,-0.454,0.143
1601655865947,2020-10-02T12.24.25.947,35.171,-0.955,-0.453,0.077
1601655865957,2020-10-02T12.24.25.957,35.181,-0.964,-0.450,0.031
1601655865966,2020-10-02T12.24.25.966,35.190,-0.938,-0.420,0.017
1601655865976,2020-10-02T12.24.25.976,35.200,-0.912,-0.412,0.053
1601655865986,2020-10-02T12.24.25.986,35.210,-0.901,-0.422,0.120
1601655865996,2020-10-02T12.24.25.996,35.220,-0.934,-0.454,0.201
1601655866007,2020-10-02T12.24.26.007,35.231,-0.980,-0.514,0.261
1601655866015,2020-10-02T12.24.26.015,35.239,-1.031,-0.575,0.264
1601655866026,2020-10-02T12.24.26.026,35.250,-1.065,-0.581,0.179
1601655866036,2020-10-02T12.24.26.036,35.260,-1.077,-0.580,0.052
1601655866046,2020-10-02T12.24.26.046,35.270,-1.063,-0.552,-0.076
1601655866055,2020-10-02T12.24.26.055,35.279,-1.030,-0.466,-0.183
1601655866065,2020-10-02T12.24.26.065,35.289,-0.990,-0.410,-0.262
1601655866075,2020-10-02T12.24.26.075,35.299,-0.923,-0.379,-0.241
1601655866086,2020-10-02T12.24.26.086,35.310,-0.880,-0.376,-0.155
1601655866096,2020-10-02T12.24.26.096,35.320,-0.878,-0.414,-0.030
1601655866105,2020-10-02T12.24.26.105,35.329,-0.918,-0.498,0.137
1601655866115,2020-10-02T12.24.26.115,35.339,-0.957,-0.549,0.246
1601655866125,2020-10-02T12.24.26.125,35.349,-0.949,-0.558,0.227
1601655866136,2020-10-02T12.24.26.136,35.360,-0.922,-0.550,0.110
1601655866144,2020-10-02T12.24.26.144,35.368,-0.891,-0.527,-0.036
1601655866155,2020-10-02T12.24.26.155,35.379,-0.853,-0.461,-0.176
1601655866165,2020-10-02T12.24.26.165,35.389,-0.830,-0.390,-0.262
1601655866175,2020-10-02T12.24.26.175,35.399,-0.826,-0.377,-0.293
1601655866185,2020-10-02T12.24.26.185,35.409,-0.851,-0.384,-0.265
1601655866194,2020-10-02T12.24.26.194,35.418,-0.850,-0.390,-0.214
1601655866204,2020-10-02T12.24.26.204,35.428,-0.846,-0.405,-0.136
1601655866215,2020-10-02T12.24.26.215,35.439,-0.872,-0.459,-0.040
1601655866225,2020-10-02T12.24.26.225,35.449,-0.907,-0.500,0.006
1601655866234,2020-10-02T12.24.26.234,35.458,-0.925,-0.505,-0.006
1601655866244,2020-10-02T12.24.26.244,35.468,-0.943,-0.492,-0.042
1601655866254,2020-10-02T12.24.26.254,35.478,-0.944,-0.463,-0.135
1601655866264,2020-10-02T12.24.26.264,35.488,-0.933,-0.396,-0.240
1601655866275,2020-10-02T12.24.26.275,35.499,-0.904,-0.337,-0.300
1601655866283,2020-10-02T12.24.26.283,35.507,-0.869,-0.315,-0.295
1601655866294,2020-10-02T12.24.26.294,35.518,-0.870,-0.334,-0.264
1601655866304,2020-10-02T12.24.26.304,35.528,-0.897,-0.381,-0.278
1601655866314,2020-10-02T12.24.26.314,35.538,-0.946,-0.402,-0.312
1601655866323,2020-10-02T12.24.26.323,35.547,-0.975,-0.396,-0.333
1601655866333,2020-10-02T12.24.26.333,35.557,-0.986,-0.379,-0.317
1601655866344,2020-10-02T12.24.26.344,35.568,-0.969,-0.347,-0.330
1601655866354,2020-10-02T12.24.26.354,35.578,-0.961,-0.311,-0.361
1601655866364,2020-10-02T12.24.26.364,35.588,-0.950,-0.276,-0.404
1601655866373,2020-10-02T12.24.26.373,35.597,-0.945,-0.248,-0.425
1601655866383,2020-10-02T12.24.26.383,35.607,-0.938,-0.241,-0.427
1601655866393,2020-10-02T12.24.26.393,35.617,-0.951,-0.255,-0.410
1601655866404,2020-10-02T12.24.26.404,35.628,-0.972,-0.267,-0.403
1601655866414,2020-10-02T12.24.26.414,35.638,-0.994,-0.274,-0.381
1601655866423,2020-10-02T12.24.26.423,35.647,-1.007,-0.281,-0.333
1601655866433,2020-10-02T12.24.26.433,35.657,-1.016,-0.277,-0.315
1601655866443,2020-10-02T12.24.26.443,35.667,-1.029,-0.253,-0.335
1601655866453,2020-10-02T12.24.26.453,35.677,-1.053,-0.234,-0.369
1601655866462,2020-10-02T12.24.26.462,35.686,-1.054,-0.218,-0.396
1601655866472,2020-10-02T12.24.26.472,35.696,-1.032,-0.189,-0.403
1601655866483,2020-10-02T12.24.26.483,35.707,-1.027,-0.184,-0.398
1601655866493,2020-10-02T12.24.26.493,35.717,-1.053,-0.212,-0.395
1601655866503,2020-10-02T12.24.26.503,35.727,-1.072,-0.220,-0.388
1601655866512,2020-10-02T12.24.26.512,35.736,-1.077,-0.215,-0.378
1601655866522,2020-10-02T12.24.26.522,35.746,-1.079,-0.207,-0.348
1601655866533,2020-10-02T12.24.26.533,35.757,-1.084,-0.209,-0.326
1601655866543,2020-10-02T12.24.26.543,35.767,-1.087,-0.205,-0.324
1601655866552,2020-10-02T12.24.26.552,35.776,-1.091,-0.205,-0.312
1601655866562,2020-10-02T12.24.26.562,35.786,-1.096,-0.206,-0.318
1601655866572,2020-10-02T12.24.26.572,35.796,-1.111,-0.208,-0.339
1601655866582,2020-10-02T12.24.26.582,35.806,-1.125,-0.211,-0.344
1601655866593,2020-10-02T12.24.26.593,35.817,-1.135,-0.214,-0.333
1601655866601,2020-10-02T12.24.26.601,35.825,-1.151,-0.229,-0.306
1601655866612,2020-10-02T12.24.26.612,35.836,-1.151,-0.236,-0.285
1601655866622,2020-10-02T12.24.26.622,35.846,-1.142,-0.234,-0.270
1601655866632,2020-10-02T12.24.26.632,35.856,-1.127,-0.226,-0.279
1601655866641,2020-10-02T12.24.26.641,35.865,-1.112,-0.217,-0.297
1601655866651,2020-10-02T12.24.26.651,35.875,-1.090,-0.206,-0.311
1601655866661,2020-10-02T12.24.26.661,35.885,-1.075,-0.202,-0.310
1601655866672,2020-10-02T12.24.26.672,35.896,-1.063,-0.197,-0.304
1601655866682,2020-10-02T12.24.26.682,35.906,-1.064,-0.196,-0.288
